상가업소번호|상호명|지점명|상권업종대분류코드|상권업종대분류명|상권업종중분류코드|상권업종중분류명|상권업종소분류코드|상권업종소분류명|표준산업분류코드|표준산업분류명|시도코드|시도명|시군구코드|시군구명|행정동코드|행정동명|법정동코드|법정동명|지번코드|대지구분코드|대지구분명|지번본번지|지번부번지|지번주소|도로명코드|도로명|건물본번지|건물부번지|건물관리번호|건물명|도로명주소|구우편번호|신우편번호|동정보|층정보|호정보|경도|위도
25458586|경희대태권도장||R|학문/교육|R07|학원-예능취미체육|R07A20|태권도장|P85611|스포츠 교육기관|11|서울특별시|11620|관악구|1162052500|보라매동|1162010100|봉천동|1162010100209550042|1|대지|955|42|서울특별시 관악구 봉천동 955-42|116204160637|서울특별시 관악구 은천로5길|11||1162010100109550042038988||서울특별시 관악구 은천로5길 11|151050|08719||2||126.937976175855|37.4867801051499
2921083|올림픽공인중개사무소||L|부동산|L01|부동산중개|L01A01|부동산중개|L68221|부동산 자문 및 중개업|11|서울특별시|11710|송파구|1171056600|오륜동|1171011100|방이동|1171011100200890000|1|대지|89||서울특별시 송파구 방이동 89|117102000006|서울특별시 송파구 양재대로|1218||1171011100100890000015381|올림픽선수기자촌아파트|서울특별시 송파구 양재대로 1218|138787|05649||1||127.137697522494|37.5166819704402
25494874|아이러브훌랄라||Q|음식|Q05|닭/오리요리|Q05A08|후라이드/양념치킨|I56193|치킨 전문점|11|서울특별시|11530|구로구|1153055000|구로4동|1153010200|구로동|1153010200207670168|1|대지|767|168|서울특별시 구로구 구로동 767-168|115303116010|서울특별시 구로구 도림로|51||1153010200107670153021204||서울특별시 구로구 도림로 51|152050|08314||1||126.889599186438|37.488551890617
25495051|대성종합공사||F|생활서비스|F15|주택수리|F15A04|유리창호|F42420|유리 및 창호 공사업|11|서울특별시|11620|관악구|1162052500|보라매동|1162010100|봉천동|1162010100207080002|1|대지|708|2|서울특별시 관악구 봉천동 708-2|116204160307|서울특별시 관악구 당곡길|60||1162010100107080002037537||서울특별시 관악구 당곡길 60|151050|08710||1||126.927844528224|37.4915362373207
25495089|에스앤에이치||D|소매|D05|의복의류|D05A01|일반의류|G47416|셔츠 및 기타 의복 소매업|11|서울특별시|11545|금천구|1154570000|시흥4동|1154510300|시흥동|1154510300200080004|1|대지|8|4|서울특별시 금천구 시흥동 8-4|115454151113|서울특별시 금천구 독산로50길|57||1154510300100080004001893|한우리어린이집|서울특별시 금천구 독산로50길 57|153030|08563||1||126.907525086882|37.4627057177756
25495200|BodyWell||F|생활서비스|F01|이/미용/건강|F01A03|비만/피부관리|||11|서울특별시|11680|강남구|1168052100|논현1동|1168010800|논현동|1168010800200010005|1|대지|1|5|서울특별시 강남구 논현동 1-5|116804166020|서울특별시 강남구 강남대로150길|11||1168010800100010005006296||서울특별시 강남구 강남대로150길 11|135010|06038||4||127.020783781562|37.5160318600492
25513384|제일공인중개사||L|부동산|L01|부동산중개|L01A01|부동산중개|L68221|부동산 자문 및 중개업|11|서울특별시|11560|영등포구|1156054000|여의동|1156011000|여의도동|1156011000200370000|1|대지|37||서울특별시 영등포구 여의도동 37|115602118002|서울특별시 영등포구 의사당대로|110||1156011000100370000031429|아일렉스|서울특별시 영등포구 의사당대로 110|150795|07322||1||126.923972675103|37.5210012915703
25513710|에이스힐인마트||D|소매|D03|종합소매점|D03A02|수퍼마켓|G47121|슈퍼마켓|11|서울특별시|11650|서초구|1165051000|서초1동|1165010800|서초동|1165010800216380011|1|대지|1638|11|서울특별시 서초구 서초동 1638-11|116504163707|서울특별시 서초구 서초중앙로22길|105||1165010800116380011027304||서울특별시 서초구 서초중앙로22길 105|137070|06631||1||127.019549316577|37.4945224817558
25423966|Cafe수||Q|음식|Q09|유흥주점|Q09A08|빠/카페/스탠드빠|I56211|일반유흥 주점업|11|서울특별시|11680|강남구|1168064000|역삼1동|1168010100|역삼동|1168010100207360055|1|대지|736|55|서울특별시 강남구 역삼동 736-55|116804166727|서울특별시 강남구 테헤란로26길|10||1168010100107360055027688|성보빌딩|서울특별시 강남구 테헤란로26길 10|135080|06236||1||127.035824788941|37.4996302661116
25423991|엘본그랑카페|현대목동점|Q|음식|Q12|커피점/카페|Q12A01|커피전문점/카페/다방|I56220|비알콜 음료점업|11|서울특별시|11470|양천구|1147051000|목1동|1147010200|목동|1147010200209160000|1|대지|916||서울특별시 양천구 목동 916|114703114001|서울특별시 양천구 목동동로|257||1147010200109160000021253|하이페리온|서울특별시 양천구 목동동로 257|158724|07998||6||126.874681763736|37.5271465422093
19904108|장우동||Q|음식|Q04|분식|Q04A04|우동전문점|I56194|분식 및 김밥 전문점|26|부산광역시|26350|해운대구|2635052000|우2동|2635010500|우동|2635010500215000000|1|대지|1500||부산광역시 해운대구 우동 1500|263503133044|부산광역시 해운대구 APEC로|55||2635010500115000000000417|벡스코|부산광역시 해운대구 APEC로 55|612704|48060||1||129.13603906341|35.1690785295441
25524883|휀스자재전시장||D|소매|D21|철물/난방/건설자재소매|D21A01|건축백화점|G47519|페인트, 유리 및 기타 건설자재 소매업|26|부산광역시|26530|사상구|2653064500|감전동|2653010500|감전동|2653010500201240035|1|대지|124|35|부산광역시 사상구 감전동 124-35|265304217313|부산광역시 사상구 새벽시장로45번길|53|7|2653010500101240035000001||부산광역시 사상구 새벽시장로45번길 53-7|617802|46979||1||128.97897139907|35.1577670400473
25478175|백세동안||D|소매|D20|의약/의료품소매|D20A01|의료용품소매|G47811|의약품 및 의료용품 소매업|11|서울특별시|11740|강동구|1174070000|둔촌2동|1174010600|둔촌동|1174070000200980004|1|대지|98|4|서울특별시 강동구 둔촌동 98-4|117404172320|서울특별시 강동구 진황도로61길|52||1174010600100980004000001||서울특별시 강동구 진황도로61길 52|134060|05369||2||127.145880653611|37.5282029029222
